numid,full name,old scientific,genus,species,common,id notes,checked by,,,,,,,,,,,,,,,,,,
22,Beilshmiedia oligandra,Beilshmiedia oligandra,Beilshmiedia,oligandra,NA,,AK,,,,,,,,,,,,,,,,,,
22,Calophyllum costatum,Calophyllum costatum,Calophyllum,costatum,NA,,AK,,,,,,,,,,,,,,,,,,
22,Castanospora alphandii,Castanospora alphandii,Castanospora,alphandii,NA,,AK,,,,,,,,,,,,,,,,,,
22,Cryptocarya oblata,Cryptocarya oblata,Cryptocarya,oblata,NA,,AK,,,,,,,,,,,,,,,,,,
22,Cryptocarya pleurosperma,Cryptocarya pleurosperma,Cryptocarya,pleurosperma,NA,,AK,,,,,,,,,,,,,,,,,,
22,Davidsonia pruriens,Davidsonia pruriens,Davidsonia,pruriens,NA,,AK,,,,,,,,,,,,,,,,,,
22,Elaeocarpus grandis,Elaeocarpus grandis,Elaeocarpus,grandis,NA,,AK,,,,,,,,,,,,,,,,,,
22,Elaeocarpus largiflorens,Elaeocarpus largiflorens,Elaeocarpus,largiflorens,NA,,AK,,,,,,,,,,,,,,,,,,
22,Endiandra impressicosta,Endiandra impressicosta,Endiandra,impressicosta,NA,,AK,,,,,,,,,,,,,,,,,,
22,Endiandra longipedicellata,Endiandra longipedicellata,Endiandra,longipedicellata,NA,,AK,,,,,,,,,,,,,,,,,,
22,Ficus crassipes,Ficus crassipes,Ficus,crassipes,NA,,AK,,,,,,,,,,,,,,,,,,
22,Normanbya normanbyi,Normanbya normanbyi,Normanbya,normanbyi,NA,,AK,,,,,,,,,,,,,,,,,,
22,Peripentadenia mearsii,Peripentadenia mearsii,Peripentadenia,mearsii,NA,,AK,,,,,,,,,,,,,,,,,,
22,Prunus turneriana,Prunus turneriana,Prunus,turneriana,NA,,AK,,,,,,,,,,,,,,,,,,
23,Capsicum annuum,Capsicum annuum,Capsicum,annuum,NA,,AK,,,,,,,,,,,,,,,,,,
23,Capsicum chacoense,Capsicum chacoense,Capsicum,chacoense,NA,,AK,,,,,,,,,,,,,,,,,,
24,Crataegus monogyna,Crataegus monogyna,Crataegus,monogyna,NA,,AK,,,,,,,,,,,,,,,,,,
25,tomatoes,tomatoes,Solanum,lycopersicum,NA,added scientific name for genus & spp,HSR,,,,,,,,,,,,,,,,,,
26,Myrica faya,Myrica faya,Myrica,faya,NA,,AK,,,,,,,,,,,,,,,,,,
27,Ficus luschnathiana Miquel,Ficus luschnathiana Miquel,Ficus,luschnathiana ,NA,removed taxonomist name,AK,,,,,,,,,,,,,,,,,,
28,Miconia prasina,Miconia prasina,Miconia,prasina,NA,,AK,,,,,,,,,,,,,,,,,,
29,Annona salzmannii,Annona salzmannii,Annona,salzmannii,NA,,AK,,,,,,,,,,,,,,,,,,
29,Aechmea spp.,Aechmea spp.,Aechmea.,sp.,NA,changed spp. to sp.,AK,,,,,,,,,,,,,,,,,,
29,Vismia latifolia,Vismia latifolia,Vismia,latifolia,NA,,AK,,,,,,,,,,,,,,,,,,
29,Cheiloclinium cognatum,Cheiloclinium cognatum,Cheiloclinium,cognatum,NA,,AK,,,,,,,,,,,,,,,,,,
29,Henriettea succosa,Henriettea succosa,Henriettea,succosa,NA,,AK,,,,,,,,,,,,,,,,,,
29,Miconia mirabilis,Miconia mirabilis,Miconia,mirabilis,NA,,AK,,,,,,,,,,,,,,,,,,
29,Miconia hypoleuca,Miconia hypoleuca,Miconia,hypoleuca,NA,,AK,,,,,,,,,,,,,,,,,,
29,Anomospermum reticulatum,Anomospermum reticulatum,Anomospermum,reticulatum,NA,,AK,,,,,,,,,,,,,,,,,,
29,Inga thibaudiana,Inga thibaudiana,Inga,thibaudiana,NA,,AK,,,,,,,,,,,,,,,,,,
29,Helicostylis tomentosa,Helicostylis tomentosa,Helicostylis,tomentosa,NA,,AK,,,,,,,,,,,,,,,,,,
29,Ficus gomelleira,Ficus gomelleira,Ficus,gomelleira,NA,,AK,,,,,,,,,,,,,,,,,,
29,Pourouma mollis,Pourouma mollis,Pourouma,mollis,NA,,AK,,,,,,,,,,,,,,,,,,
29,Pourouma velutina,Pourouma velutina,Pourouma,velutina,NA,,AK,,,,,,,,,,,,,,,,,,
29,Psidium guajava,Psidium guajava,Psidium,guajava,NA,,AK,,,,,,,,,,,,,,,,,,
29,Eugenia rostrata,Eugenia rostrata,Eugenia,rostrata,NA,,AK,,,,,,,,,,,,,,,,,,
29,Myrcia fallax,Myrcia fallax,Myrcia,fallax,NA,,AK,,,,,,,,,,,,,,,,,,
29,Neomitranthes obscura Campomanesia dichotoma,Neomitranthes obscura Campomanesia dichotoma,Neomitranthes,obscura,NA,"removed Campomanesia dichotoma from species name, added as new row",AK,,,,,,,,,,,,,,,,,,
29,Campomanesia dichotoma,Campomanesia dichotoma,Campomanesia,dichotoma,NA,added new row bc lumped with Neomitranthes. ,AK,,,,,,,,,,,,,,,,,,
29,Marlierea verticillaria,Marlierea verticillaria,Marlierea,verticillaria,NA,,AK,,,,,,,,,,,,,,,,,,
29,Myrcia gigantea,Myrcia gigantea,Myrcia,gigantea,NA,,AK,,,,,,,,,,,,,,,,,,
