"","Genus","Species","Abbrev","Infraspecific","ID","Plant.Name.Index","TPL_version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific","Authority","New.ID","Typo","WFormat"
"76","Acmena","divaricata",NA,"","kew-2106",TRUE,"1.1","Synonym","Myrtaceae","Syzygium","","divaricatum","","(Merr. & L.M.Perry) Craven & Biffin","kew-344839",FALSE,FALSE
"77","Apodytes","brachystylis",NA,"","kew-2644279",TRUE,"1.1","Accepted","Icacinaceae","Apodytes","","brachystylis","","F.Muell.","kew-2644279",FALSE,FALSE
"78","Beilshmiedia","oligandra",NA,"","",FALSE,"1.1","","","Beilshmiedia","","oligandra","","","",FALSE,FALSE
"79","Calophyllum","costatum",NA,"","kew-2693277",TRUE,"1.1","Accepted","Clusiaceae","Calophyllum","","costatum","","F.M.Bailey","kew-2693277",FALSE,FALSE
"80","Castanospora","alphandii",NA,"","kew-2704744",TRUE,"1.1","Accepted","Sapindaceae","Castanospora","","alphandi","","(F.Muell.) F.Muell.","kew-2704744",TRUE,FALSE
"81","Cryptocarya","oblata",NA,"","kew-2746133",TRUE,"1.1","Accepted","Lauraceae","Cryptocarya","","oblata","","F.M.Bailey","kew-2746133",FALSE,FALSE
"82","Cryptocarya","pleurosperma",NA,"","kew-2746189",TRUE,"1.1","Accepted","Lauraceae","Cryptocarya","","pleurosperma","","C.T.White & W.D.Francis","kew-2746189",FALSE,FALSE
"83","Davidsonia","pruriens",NA,"","kew-56619",TRUE,"1.1","Accepted","Cunoniaceae","Davidsonia","","pruriens","","F.Muell.","kew-56619",FALSE,FALSE
"84","Elaeocarpus","grandis",NA,"","kew-2785591",TRUE,"1.1","Synonym","Elaeocarpaceae","Elaeocarpus","","angustifolius","","Blume","kew-2785314",FALSE,FALSE
"85","Elaeocarpus","largiflorens",NA,"","kew-2785695",TRUE,"1.1","Accepted","Elaeocarpaceae","Elaeocarpus","","largiflorens","","C.T.White","kew-2785695",FALSE,FALSE
"86","Endiandra","impressicosta",NA,"","kew-2788869",TRUE,"1.1","Accepted","Lauraceae","Endiandra","","impressicosta","","C.K.Allen","kew-2788869",FALSE,FALSE
"87","Endiandra","longipedicellata",NA,"","kew-2788885",TRUE,"1.1","Accepted","Lauraceae","Endiandra","","longipedicellata","","C.T.White","kew-2788885",FALSE,FALSE
"88","Ficus","crassipes",NA,"","kew-2810073",TRUE,"1.1","Accepted","Moraceae","Ficus","","crassipes","","F.M.Bailey","kew-2810073",FALSE,FALSE
"89","Normanbya","normanbyi",NA,"","kew-135693",TRUE,"1.1","Accepted","Arecaceae","Normanbya","","normanbyi","","(W.Hill) L.H.Bailey","kew-135693",FALSE,FALSE
"90","Peripentadenia","mearsii",NA,"","tro-100355755",TRUE,"1.1","Synonym","Phyllanthaceae","Actephila","","mearsii","","C.T.White","kew-2710",FALSE,FALSE
"91","Prunus","turneriana",NA,"","rjp-25361",TRUE,"1.1","Accepted","Rosaceae","Prunus","","turneriana","","(F.M.Bailey) Kalkman","rjp-25361",FALSE,FALSE
"92","Capsicum","annuum",NA,"","kew-2698415",TRUE,"1.1","Accepted","Solanaceae","Capsicum","","annuum","","L.","kew-2698415",FALSE,FALSE
"93","Capsicum","chacoense",NA,"","kew-2698472",TRUE,"1.1","Accepted","Solanaceae","Capsicum","","chacoense","","Hunz.","kew-2698472",FALSE,FALSE
"94","Crataegus","monogyna",NA,"","rjp-49",TRUE,"1.1","Accepted","Rosaceae","Crataegus","","monogyna","","Jacq.","rjp-49",FALSE,FALSE
"95","Solanum","lycopersicum",NA,"","tro-29605838",TRUE,"1.1","Accepted","Solanaceae","Solanum","","lycopersicum","","L.","tro-29605838",FALSE,FALSE
"96","Myrica","faya",NA,"","kew-2500713",TRUE,"1.1","Accepted","Myricaceae","Myrica","","faya","","Dryand.","kew-2500713",FALSE,FALSE
"97","Ficus","luschnathiana",NA,"","kew-2811175",TRUE,"1.1","Accepted","Moraceae","Ficus","","luschnathiana","","(Miq.) Miq.","kew-2811175",FALSE,FALSE
"98","Miconia","prasina",NA,"","tro-20300177",TRUE,"1.1","Accepted","Melastomataceae","Miconia","","prasina","","(Sw.) DC.","tro-20300177",FALSE,FALSE
"99","Annona","salzmannii",NA,"","kew-2641010",TRUE,"1.1","Accepted","Annonaceae","Annona","","salzmannii","","A.DC.","kew-2641010",FALSE,FALSE
"100","Aechmea.","sp.",NA,"","",FALSE,"1.1","","","Aechmea.","","sp.","","","",FALSE,FALSE
"101","Vismia","latifolia",NA,"","tro-7801573",TRUE,"1.1","Accepted","Hypericaceae","Vismia","","latifolia","","(Aubl.) Choisy","tro-7801573",FALSE,FALSE
"102","Cheiloclinium","cognatum",NA,"","kew-2716141",TRUE,"1.1","Accepted","Celastraceae","Cheiloclinium","","cognatum","","(Miers) A.C.Sm.","kew-2716141",FALSE,FALSE
"103","Henriettea","succosa",NA,"","tro-20302656",TRUE,"1.1","Accepted","Melastomataceae","Henriettea","","succosa","","(Aubl.) DC.","tro-20302656",FALSE,FALSE
"104","Miconia","mirabilis",NA,"","tro-20300170",TRUE,"1.1","Accepted","Melastomataceae","Miconia","","mirabilis","","(Aubl.) L.O. Williams","tro-20300170",FALSE,FALSE
"105","Miconia","hypoleuca",NA,"","tro-20301106",TRUE,"1.1","Accepted","Melastomataceae","Miconia","","hypoleuca","","(Benth.) Triana","tro-20301106",FALSE,FALSE
"106","Anomospermum","reticulatum",NA,"","kew-2641316",TRUE,"1.1","Accepted","Menispermaceae","Anomospermum","","reticulatum","","(Mart.) Eichler","kew-2641316",FALSE,FALSE
"107","Inga","thibaudiana",NA,"","ild-12252",TRUE,"1.1","Accepted","Leguminosae","Inga","","thibaudiana","","DC.","ild-12252",FALSE,FALSE
"108","Helicostylis","tomentosa",NA,"","kew-2843149",TRUE,"1.1","Accepted","Moraceae","Helicostylis","","tomentosa","","(Poepp. & Endl.) J.F.Macbr.","kew-2843149",FALSE,FALSE
"109","Ficus","gomelleira",NA,"","kew-2810596",TRUE,"1.1","Accepted","Moraceae","Ficus","","gomelleira","","Kunth & C.D.Bouché","kew-2810596",FALSE,FALSE
"110","Pourouma","mollis",NA,"","kew-2408802",TRUE,"1.1","Accepted","Urticaceae","Pourouma","","mollis","","Trécul","kew-2408802",FALSE,FALSE
"111","Pourouma","velutina",NA,"","kew-2408460",TRUE,"1.1","Accepted","Urticaceae","Pourouma","","velutina","","Mart. ex Miq.","kew-2408460",FALSE,FALSE
"112","Psidium","guajava",NA,"","kew-166741",TRUE,"1.1","Accepted","Myrtaceae","Psidium","","guajava","","L.","kew-166741",FALSE,FALSE
"113","Eugenia","rostrata",NA,"","kew-76678",TRUE,"1.1","Accepted","Myrtaceae","Eugenia","","rostrata","","O.Berg","kew-76678",FALSE,FALSE
"114","Myrcia","fallax",NA,"","kew-131218",TRUE,"1.1","Synonym","Myrtaceae","Myrcia","","splendens","","(Sw.) DC.","kew-131639",FALSE,FALSE
"115","Neomitranthes","obscura",NA,"","kew-133885",TRUE,"1.1","Accepted","Myrtaceae","Neomitranthes","","obscura","","(DC.) N.Silveira","kew-133885",FALSE,FALSE
"116","Campomanesia","dichotoma",NA,"","kew-33148",TRUE,"1.1","Accepted","Myrtaceae","Campomanesia","","dichotoma","","(O.Berg) Mattos","kew-33148",FALSE,FALSE
"117","Marlierea","verticillaria",NA,"","kew-120760",TRUE,"1.1","Accepted","Myrtaceae","Marlierea","","verticillaris","","O.Berg","kew-120760",TRUE,FALSE
"118","Myrcia","gigantea",NA,"","kew-131246",TRUE,"1.1","Accepted","Myrtaceae","Myrcia","","gigantea","","(O.Berg) Nied.","kew-131246",FALSE,FALSE
"119","Passiflora.","sp.",NA,"","",FALSE,"1.1","","","Passiflora.","","sp.","","","",FALSE,FALSE
"120","Simira","viridiflora",NA,"","kew-192348",TRUE,"1.1","Accepted","Rubiaceae","Simira","","viridiflora","","(Allemão & Saldanha) Steyerm.","kew-192348",FALSE,FALSE
"121","Chrysophyllum","splendens",NA,"","kew-40296",TRUE,"1.1","Accepted","Sapotaceae","Chrysophyllum","","splendens","","Spreng.","kew-40296",FALSE,FALSE
"122","Cissus.","sp.",NA,"","",FALSE,"1.1","","","Cissus.","","sp.","","","",FALSE,FALSE
"123","Schinus","terebinthifolius",NA,"","",FALSE,"1.1","","","Schinus","","terebinthifolius","","","",FALSE,FALSE
"124","Mangifera","indica",NA,"","kew-2362842",TRUE,"1.1","Accepted","Anacardiaceae","Mangifera","","indica","","L.","kew-2362842",FALSE,FALSE
"125","Spondias.","sp.",NA,"","",FALSE,"1.1","","","Spondias.","","sp.","","","",FALSE,FALSE
"126","Rauvolfia.","sp.",NA,"","",FALSE,"1.1","","","Rauvolfia.","","sp.","","","",FALSE,FALSE
"127","Schefflera","morotonii",NA,"","",FALSE,"1.1","","","Schefflera","","morotonii","","","",FALSE,FALSE
"128","Attalea","oleifera",NA,"","kew-17819",TRUE,"1.1","Accepted","Arecaceae","Attalea","","oleifera","","Barb.Rodr.","kew-17819",FALSE,FALSE
"129","Euterpe","oleraceae",NA,"","kew-83095",TRUE,"1.1","Accepted","Arecaceae","Euterpe","","oleracea","","Mart.","kew-83095",TRUE,FALSE
"130","Mauritia","flexuosa",NA,"","kew-122230",TRUE,"1.1","Accepted","Arecaceae","Mauritia","","flexuosa","","L.f.","kew-122230",FALSE,FALSE
"131","Licania","tomentosa",NA,"","kew-353853",TRUE,"1.1","Accepted","Chrysobalanaceae","Licania","","tomentosa","","(Benth.) Fritsch.","kew-353853",FALSE,FALSE
